picture_file;picture;Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Fásico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen_url
108821_XERJOFF_OUD_ALEXANDRIA_II_PARFUM_EPV_100ML_1_5_png.webp;;108821-XERJOFF-OUD-ALEXANDRIA-II-PARFUM-EPV-100ML-1-5;XERJOFF OUD ALEXANDRIA II PARFUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/108821_XERJOFF_OUD_ALEXANDRIA_II_PARFUM_EPV_100ML_1_5_png.webp
109320_tiziana_t_andromeda_parfum_100ml_1_png.webp;;109320-tiziana-t-andromeda-parfum-100ml-1;tiziana t andromeda parfum 100ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109320_tiziana_t_andromeda_parfum_100ml_1_png.webp
109322_tiziana_t_bigia_parfum_100ml_1_png.webp;;109322-tiziana-t-bigia-parfum-100ml-1;tiziana t bigia parfum 100ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109322_tiziana_t_bigia_parfum_100ml_1_png.webp
109335_tiziana_t_kirke_parfum_100ml_1_png.webp;;109335-tiziana-t-kirke-parfum-100ml-1;tiziana t kirke parfum 100ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109335_tiziana_t_kirke_parfum_100ml_1_png.webp
109382_CREED_MILLESSIME_ROYAL_MAYFAIR_EPV_50ML_1_png.webp;;109382-CREED-MILLESSIME-ROYAL-MAYFAIR-EPV-50ML-1;CREED MILLESSIME ROYAL MAYFAIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109382_CREED_MILLESSIME_ROYAL_MAYFAIR_EPV_50ML_1_png.webp
109414_CREED_MILLESIME_IMPERIAL_EPV_100ML_1_png.webp;;109414-CREED-MILLESIME-IMPERIAL-EPV-100ML-1;CREED MILLESIME IMPERIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109414_CREED_MILLESIME_IMPERIAL_EPV_100ML_1_png.webp
109434_CREED_AVENTUS_COLOGNE_FOR_HIM_EPV_100ML_1_png.webp;;109434-CREED-AVENTUS-COLOGNE-FOR-HIM-EPV-100ML-1;CREED AVENTUS COLOGNE FOR HIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109434_CREED_AVENTUS_COLOGNE_FOR_HIM_EPV_100ML_1_png.webp
109573_etro_patchouly_etv_100ml_1_png.webp;;109573-etro-patchouly-etv-100ml-1;etro patchouly etv 100ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109573_etro_patchouly_etv_100ml_1_png.webp
109582_etro_etra_etv_100ml_1_png.webp;;109582-etro-etra-etv-100ml-1;etro etra etv 100ml 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/109582_etro_etra_etv_100ml_1_png.webp
110183_NASSOMATTO_DURO_EXTRAIT_PARFUM_30ML_1_13_png.webp;;110183-NASSOMATTO-DURO-EXTRAIT-PARFUM-30ML-1-13;NASSOMATTO DURO EXTRAIT PARFUM 30ML 1 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/110183_NASSOMATTO_DURO_EXTRAIT_PARFUM_30ML_1_13_png.webp
